Datetime1,Flow SLPM,Datetime2,CO2 ppm,Datetime3,VE,Datetime3,VE over VCO2,Datetime4,CO2Peak
2022-07-18 17:20:11.806361,-15.08,,,,,,,,
2022-07-18 17:20:11.856430,-14.61,,,,,,,,
2022-07-18 17:20:11.906667,-13.99,,,,,,,,
2022-07-18 17:20:11.957216,-13.21,,,,,,,,
2022-07-18 17:20:12.008445,-13.06,,,,,,,,
,,2022-07-18 17:20:12.029668,1300.0,,,,,,
2022-07-18 17:20:12.059033,-12.82,,,,,,,,
,,2022-07-18 17:20:12.079778,1240.0,,,,,,
2022-07-18 17:20:12.109652,-12.4,,,,,,,,
,,2022-07-18 17:20:12.130684,1240.0,,,,,,
2022-07-18 17:20:12.159965,-12.43,,,,,,,,
,,2022-07-18 17:20:12.181168,1290.0,,,,,,
2022-07-18 17:20:12.210306,-12.48,,,,,,,,
,,2022-07-18 17:20:12.231205,1350.0,,,,,,
2022-07-18 17:20:12.260613,-12.45,,,,,,,,
,,2022-07-18 17:20:12.281429,1480.0,,,,,,
2022-07-18 17:20:12.311760,-12.37,,,,,,,,
,,2022-07-18 17:20:12.331673,1410.0,,,,,,
2022-07-18 17:20:12.362919,-12.62,,,,,,,,
,,2022-07-18 17:20:12.382565,1330.0,,,,,,
2022-07-18 17:20:12.413256,-12.69,,,,,,,,
,,2022-07-18 17:20:12.433723,1330.0,,,,,,
2022-07-18 17:20:12.464378,-11.75,,,,,,,,
,,2022-07-18 17:20:12.484011,1270.0,,,,,,
2022-07-18 17:20:12.514919,-10.87,,,,,,,,
,,2022-07-18 17:20:12.534526,1390.0,,,,,,
2022-07-18 17:20:12.565718,-10.88,,,,,,,,
,,2022-07-18 17:20:12.585113,1350.0,,,,,,
2022-07-18 17:20:12.616057,-8.43,,,,,,,,
,,2022-07-18 17:20:12.635645,1220.0,,,,,,
2022-07-18 17:20:12.666441,-5.99,,,,,,,,
,,2022-07-18 17:20:12.685894,1270.0,,,,,,
2022-07-18 17:20:12.716786,-4.93,,,,,,,,
,,2022-07-18 17:20:12.736079,1320.0,,,,,,
2022-07-18 17:20:12.767311,1.41,,,,,,,,
,,2022-07-18 17:20:12.786315,1340.0,,,,,,
2022-07-18 17:20:12.817380,10.69,,,,,,,,
,,2022-07-18 17:20:12.836596,1320.0,,,,,,
2022-07-18 17:20:12.867621,16.19,,,,,,,,
,,2022-07-18 17:20:12.887213,1330.0,,,,,,
2022-07-18 17:20:12.918072,20.02,,,,,,,,
,,2022-07-18 17:20:12.937973,1360.0,,,,,,
2022-07-18 17:20:12.968222,22.26,,,,,,,,
,,2022-07-18 17:20:12.989076,1380.0,,,,,,
2022-07-18 17:20:13.018567,23.65,,,,,,,,
,,2022-07-18 17:20:13.040060,1330.0,,,,,,
2022-07-18 17:20:13.069098,24.53,,,,,,,,
,,2022-07-18 17:20:13.090508,1320.0,,,,,,
2022-07-18 17:20:13.119757,25.32,,,,,,,,
,,2022-07-18 17:20:13.140751,1360.0,,,,,,
2022-07-18 17:20:13.170014,26.15,,,,,,,,
,,2022-07-18 17:20:13.191091,1350.0,,,,,,
2022-07-18 17:20:13.220221,26.92,,,,,,,,
,,2022-07-18 17:20:13.241780,1370.0,,,,,,
2022-07-18 17:20:13.271641,27.47,,,,,,,,
,,2022-07-18 17:20:13.292645,1330.0,,,,,,
2022-07-18 17:20:13.321851,27.7,,,,,,,,
,,2022-07-18 17:20:13.342902,1270.0,,,,,,
2022-07-18 17:20:13.372139,26.85,,,,,,,,
,,2022-07-18 17:20:13.393514,1220.0,,,,,,
2022-07-18 17:20:13.422446,26.45,,,,,,,,
,,2022-07-18 17:20:13.443715,1240.0,,,,,,
2022-07-18 17:20:13.472927,27.07,,,,,,,,
,,2022-07-18 17:20:13.493918,1300.0,,,,,,
2022-07-18 17:20:13.523174,27.5,,,,,,,,
,,2022-07-18 17:20:13.544202,1500.0,,,,,,
2022-07-18 17:20:13.573207,27.78,,,,,,,,
,,2022-07-18 17:20:13.595284,2100.0,,,,,,
2022-07-18 17:20:13.623557,27.87,,,,,,,,
,,2022-07-18 17:20:13.645513,3230.0,,,,,,
2022-07-18 17:20:13.674582,28.07,,,,,,,,
,,2022-07-18 17:20:13.696301,5050.0,,,,,,
2022-07-18 17:20:13.725081,27.63,,,,,,,,
,,2022-07-18 17:20:13.747263,7740.0,,,,,,
2022-07-18 17:20:13.775777,27.4,,,,,,,,
,,2022-07-18 17:20:13.797984,11130.0,,,,,,
2022-07-18 17:20:13.826050,27.28,,,,,,,,
,,2022-07-18 17:20:13.848119,14710.0,,,,,,
2022-07-18 17:20:13.876814,27.08,,,,,,,,
,,2022-07-18 17:20:13.898504,18140.0,,,,,,
2022-07-18 17:20:13.927678,27.0,,,,,,,,
,,2022-07-18 17:20:13.948638,21700.0,,,,,,
2022-07-18 17:20:13.978774,26.65,,,,,,,,
,,2022-07-18 17:20:13.999117,25140.0,,,,,,
2022-07-18 17:20:14.029601,25.76,,,,,,,,
,,2022-07-18 17:20:14.049357,27640.0,,,,,,
2022-07-18 17:20:14.080256,25.21,,,,,,,,
,,2022-07-18 17:20:14.100300,29510.0,,,,,,
2022-07-18 17:20:14.131052,25.0,,,,,,,,
,,2022-07-18 17:20:14.150711,31400.0,,,,,,
2022-07-18 17:20:14.181875,24.62,,,,,,,,
,,2022-07-18 17:20:14.201018,33710.0,,,,,,
2022-07-18 17:20:14.232410,24.66,,,,,,,,
,,2022-07-18 17:20:14.251440,35140.0,,,,,,
2022-07-18 17:20:14.282734,24.68,,,,,,,,
,,2022-07-18 17:20:14.302426,35560.0,,,,,,
2022-07-18 17:20:14.333165,24.31,,,,,,,,
,,2022-07-18 17:20:14.353302,35900.0,,,,,,
2022-07-18 17:20:14.383452,23.54,,,,,,,,
,,2022-07-18 17:20:14.404286,36490.0,,,,,,
2022-07-18 17:20:14.433997,23.16,,,,,,,,
,,2022-07-18 17:20:14.455046,37840.0,,,,,,
2022-07-18 17:20:14.484960,22.37,,,,,,,,
,,2022-07-18 17:20:14.506044,37840.0,,,,,,
2022-07-18 17:20:14.535283,21.47,,,,,,,,
,,2022-07-18 17:20:14.556215,38240.0,,,,,,
2022-07-18 17:20:14.585523,21.43,,,,,,,,
,,2022-07-18 17:20:14.606417,39060.0,,,,,,
2022-07-18 17:20:14.636304,21.26,,,,,,,,
,,2022-07-18 17:20:14.657628,39190.0,,,,,,
2022-07-18 17:20:14.686509,20.32,,,,,,,,
,,2022-07-18 17:20:14.707646,39980.0,,,,,,
2022-07-18 17:20:14.737817,19.34,,,,,,,,
,,2022-07-18 17:20:14.759801,40340.0,,,,,,
2022-07-18 17:20:14.788315,18.47,,,,,,,,
,,2022-07-18 17:20:14.809302,40570.0,,,,,,
2022-07-18 17:20:14.838579,17.93,,,,,,,,
,,2022-07-18 17:20:14.859927,41370.0,,,,,,
2022-07-18 17:20:14.888910,17.91,,,,,,,,
,,2022-07-18 17:20:14.910036,41570.0,,,,,,
2022-07-18 17:20:14.939045,17.91,,,,,,,,
,,2022-07-18 17:20:14.961124,41380.0,,,,,,
2022-07-18 17:20:14.990275,17.49,,,,,,,,
,,2022-07-18 17:20:15.012276,41530.0,,,,,,
2022-07-18 17:20:15.040530,16.49,,,,,,,,
,,2022-07-18 17:20:15.062528,41770.0,,,,,,
2022-07-18 17:20:15.090926,16.65,,,,,,,,
,,2022-07-18 17:20:15.112931,41870.0,,,,,,
2022-07-18 17:20:15.142056,16.6,,,,,,,,
,,2022-07-18 17:20:15.163284,42360.0,,,,,,
2022-07-18 17:20:15.192823,16.21,,,,,,,,
,,2022-07-18 17:20:15.213476,41960.0,,,,,,
2022-07-18 17:20:15.243118,16.6,,,,,,,,
,,2022-07-18 17:20:15.264102,41520.0,,,,,,
2022-07-18 17:20:15.294042,16.94,,,,,,,,
,,2022-07-18 17:20:15.315042,41820.0,,,,,,
2022-07-18 17:20:15.344378,16.31,,,,,,,,
,,2022-07-18 17:20:15.365145,42260.0,,,,,,
2022-07-18 17:20:15.394883,15.77,,,,,,,,
,,2022-07-18 17:20:15.415503,42110.0,,,,,,
2022-07-18 17:20:15.445709,15.57,,,,,,,,
,,2022-07-18 17:20:15.466077,41670.0,,,,,,
2022-07-18 17:20:15.496405,15.81,,,,,,,,
,,2022-07-18 17:20:15.517231,42310.0,,,,,,
2022-07-18 17:20:15.547323,15.8,,,,,,,,
,,2022-07-18 17:20:15.567538,42250.0,,,,,,
2022-07-18 17:20:15.597820,15.75,,,,,,,,
,,2022-07-18 17:20:15.618699,42350.0,,,,,,
2022-07-18 17:20:15.648209,15.59,,,,,,,,
,,2022-07-18 17:20:15.668997,43190.0,,,,,,
2022-07-18 17:20:15.699007,15.16,,,,,,,,
,,2022-07-18 17:20:15.719097,43190.0,,,,,,
2022-07-18 17:20:15.749866,15.52,,,,,,,,
,,2022-07-18 17:20:15.770014,43290.0,,,,,,
2022-07-18 17:20:15.801013,15.79,,,,,,,,
,,2022-07-18 17:20:15.821069,43780.0,,,,,,
2022-07-18 17:20:15.851708,15.26,,,,,,,,
,,2022-07-18 17:20:15.871886,43590.0,,,,,,
2022-07-18 17:20:15.901933,14.59,,,,,,,,
,,2022-07-18 17:20:15.922281,42740.0,,,,,,
2022-07-18 17:20:15.953156,14.58,,,,,,,,
,,2022-07-18 17:20:15.973172,42740.0,,,,,,
2022-07-18 17:20:16.003453,14.46,,,,,,,,
,,2022-07-18 17:20:16.024139,43480.0,,,,,,
2022-07-18 17:20:16.053764,14.11,,,,,,,,
,,2022-07-18 17:20:16.074351,43880.0,,,,,,
2022-07-18 17:20:16.104576,13.74,,,,,,,,
,,2022-07-18 17:20:16.124670,43340.0,,,,,,
2022-07-18 17:20:16.155986,13.46,,,,,,,,
,,2022-07-18 17:20:16.175719,43340.0,,,,,,
2022-07-18 17:20:16.206884,13.5,,,,,,,,
,,2022-07-18 17:20:16.226894,43530.0,,,,,,
2022-07-18 17:20:16.257130,13.62,,,,,,,,
,,2022-07-18 17:20:16.277002,43630.0,,,,,,
2022-07-18 17:20:16.307388,12.5,,,,,,,,
,,2022-07-18 17:20:16.327232,44130.0,,,,,,
2022-07-18 17:20:16.357715,11.99,,,,,,,,
,,2022-07-18 17:20:16.377931,43190.0,,,,,,
2022-07-18 17:20:16.408003,12.93,,,,,,,,
,,2022-07-18 17:20:16.428079,42780.0,,,,,,
2022-07-18 17:20:16.458276,12.79,,,,,,,,
,,2022-07-18 17:20:16.478234,43780.0,,,,,,
2022-07-18 17:20:16.508630,12.15,,,,,,,,
,,2022-07-18 17:20:16.528821,44080.0,,,,,,
2022-07-18 17:20:16.558937,9.45,,,,,,,,
,,,,2022-07-18 17:20:16.559982,1.2494166666666666,,,,
,,2022-07-18 17:20:16.579100,43930.0,,,,,,
2022-07-18 17:20:16.609690,-5.56,,,,,,,,
,,2022-07-18 17:20:16.629905,44230.0,,,,,,
2022-07-18 17:20:16.659763,-22.44,,,,,,,,
,,2022-07-18 17:20:16.680124,44330.0,,,,,,
2022-07-18 17:20:16.709931,-29.24,,,,,,,,
,,2022-07-18 17:20:16.731008,44330.0,,,,,,
2022-07-18 17:20:16.760228,-31.17,,,,,,,,
,,2022-07-18 17:20:16.781313,44280.0,,,,,,
2022-07-18 17:20:16.810534,-32.49,,,,,,,,
,,2022-07-18 17:20:16.831904,44080.0,,,,,,
2022-07-18 17:20:16.860882,-33.42,,,,,,,,
,,2022-07-18 17:20:16.881946,44330.0,,,,,,
2022-07-18 17:20:16.911228,-34.03,,,,,,,,
,,2022-07-18 17:20:16.932252,44280.0,,,,,,
2022-07-18 17:20:16.961492,-34.54,,,,,,,,
,,2022-07-18 17:20:16.982404,44130.0,,,,,,
2022-07-18 17:20:17.011838,-34.39,,,,,,,,
