Datetime1,Flow SLPM,Datetime2,CO2 ppm,Datetime3,VE,Datetime3,VE over VCO2,Datetime4,CO2Peak
,,2022-07-11 14:25:18.405466,1300.0,,,,,,
2022-07-11 14:25:18.412512,-15.08,,,,,,,,
,,2022-07-11 14:25:18.454288,1240.0,,,,,,
2022-07-11 14:25:18.463303,-14.61,,,,,,,,
,,2022-07-11 14:25:18.501465,1240.0,,,,,,
2022-07-11 14:25:18.513551,-13.99,,,,,,,,
,,2022-07-11 14:25:18.550142,1290.0,,,,,,
2022-07-11 14:25:18.563204,-13.21,,,,,,,,
,,2022-07-11 14:25:18.597812,1350.0,,,,,,
2022-07-11 14:25:18.612905,-13.06,,,,,,,,
,,2022-07-11 14:25:18.645886,1480.0,,,,,,
2022-07-11 14:25:18.666138,-12.82,,,,,,,,
,,2022-07-11 14:25:18.709394,1410.0,,,,,,
2022-07-11 14:25:18.716429,-12.4,,,,,,,,
,,2022-07-11 14:25:18.757864,1330.0,,,,,,
2022-07-11 14:25:18.766171,-12.43,,,,,,,,
,,2022-07-11 14:25:18.805815,1330.0,,,,,,
2022-07-11 14:25:18.814820,-12.48,,,,,,,,
,,2022-07-11 14:25:18.853621,1270.0,,,,,,
2022-07-11 14:25:18.866815,-12.45,,,,,,,,
,,2022-07-11 14:25:18.901714,1390.0,,,,,,
2022-07-11 14:25:18.917026,-12.37,,,,,,,,
,,2022-07-11 14:25:18.949725,1350.0,,,,,,
2022-07-11 14:25:18.966956,-12.62,,,,,,,,
,,2022-07-11 14:25:18.997749,1220.0,,,,,,
2022-07-11 14:25:19.016224,-12.69,,,,,,,,
,,2022-07-11 14:25:19.045687,1270.0,,,,,,
2022-07-11 14:25:19.059187,-11.75,,,,,,,,
,,2022-07-11 14:25:19.093593,1320.0,,,,,,
2022-07-11 14:25:19.109643,-10.87,,,,,,,,
,,2022-07-11 14:25:19.141999,1340.0,,,,,,
2022-07-11 14:25:19.159382,-10.88,,,,,,,,
,,2022-07-11 14:25:19.189250,1320.0,,,,,,
2022-07-11 14:25:19.209532,-8.43,,,,,,,,
,,2022-07-11 14:25:19.237877,1330.0,,,,,,
2022-07-11 14:25:19.259267,-5.99,,,,,,,,
,,2022-07-11 14:25:19.285561,1360.0,,,,,,
2022-07-11 14:25:19.315021,-4.93,,,,,,,,
,,2022-07-11 14:25:19.349653,1380.0,,,,,,
2022-07-11 14:25:19.364748,1.41,,,,,,,,
,,2022-07-11 14:25:19.397803,1330.0,,,,,,
2022-07-11 14:25:19.414459,10.69,,,,,,,,
,,2022-07-11 14:25:19.445496,1320.0,,,,,,
2022-07-11 14:25:19.464128,16.19,,,,,,,,
